2026-07-05 07:02:44 | INFO     | retail_platform.cloud.storage.gcs_uploader | Successfully uploaded 'product_category_name_translation.csv'
2026-07-05 07:02:44 | INFO     | __main__ | --------------------------------
2026-07-05 07:02:44 | INFO     | __main__ | Dataset : customers
2026-07-05 07:02:44 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_customers_dataset.csv' to 'gs://gcp-alshaya-medallion-data/raw/olist/customers/customers.csv'
2026-07-05 07:03:00 | INFO     | retail_platform.cloud.storage.gcs_uploader | Successfully uploaded 'olist_customers_dataset.csv'
2026-07-05 07:03:00 | INFO     | __main__ | --------------------------------
2026-07-05 07:03:00 | INFO     | __main__ | Dataset : geolocation
2026-07-05 07:03:00 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_geolocation_dataset.csv' to 'gs://gcp-alshaya-medallion-data/raw/olist/geolocation/geolocation.csv'
2026-07-05 07:04:00 | ERROR    | __main__ | ('Connection aborted.', TimeoutError('The write operation timed out'))
2026-07-05 07:04:00 | INFO     | __main__ | --------------------------------
2026-07-05 07:04:00 | INFO     | __main__ | Dataset : order_items
2026-07-05 07:04:00 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_order_items_dataset.csv' to 'gs://gcp-alshaya-medallion-data/raw/olist/order_items/order_items.csv'
2026-07-05 07:04:27 | INFO     | retail_platform.cloud.storage.gcs_uploader | Successfully uploaded 'olist_order_items_dataset.csv'
2026-07-05 07:04:27 | INFO     | __main__ | --------------------------------
2026-07-05 07:04:27 | INFO     | __main__ | Dataset : order_payments
2026-07-05 07:04:27 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_order_payments_dataset.csv' to 'gs://gcp-alshaya-medallion-data/raw/olist/order_payments/order_payments.csv'
2026-07-05 07:04:37 | INFO     | retail_platform.cloud.storage.gcs_uploader | Successfully uploaded 'olist_order_payments_dataset.csv'
2026-07-05 07:04:37 | INFO     | __main__ | --------------------------------
2026-07-05 07:04:37 | INFO     | __main__ | Dataset : order_reviews
2026-07-05 07:04:37 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_order_reviews_dataset.csv' to 'gs://gcp-alshaya-medallion-data/raw/olist/order_reviews/order_reviews.csv'
2026-07-05 07:04:52 | INFO     | retail_platform.cloud.storage.gcs_uploader | Successfully uploaded 'olist_order_reviews_dataset.csv'
2026-07-05 07:04:52 | INFO     | __main__ | --------------------------------
2026-07-05 07:04:52 | INFO     | __main__ | Dataset : orders
2026-07-05 07:04:52 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_orders_dataset.csv' to 'gs://gcp-alshaya-medallion-data/raw/olist/orders/orders.csv'
2026-07-05 07:05:17 | INFO     | retail_platform.cloud.storage.gcs_uploader | Successfully uploaded 'olist_orders_dataset.csv'
2026-07-05 07:05:17 | INFO     | __main__ | --------------------------------
2026-07-05 07:05:17 | INFO     | __main__ | Dataset : products
2026-07-05 07:05:17 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_products_dataset.csv' to 'gs://gcp-alshaya-medallion-data/raw/olist/products/products.csv'
2026-07-05 07:05:19 | INFO     | retail_platform.cloud.storage.gcs_uploader | Successfully uploaded 'olist_products_dataset.csv'
2026-07-05 07:05:19 | INFO     | __main__ | --------------------------------
2026-07-05 07:05:19 | INFO     | __main__ | Dataset : sellers
2026-07-05 07:05:19 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_sellers_dataset.csv' to 'gs://gcp-alshaya-medallion-data/raw/olist/sellers/sellers.csv'
